TagName, VALUE_COL, p97, p03
1, VALUES1, 9.809137, -7.195282
1, VALUES2, 8.909128, -10.661273
1, VALUES3, 16.166645, -5.8835673
2, VALUES1, 80.276, -50.7825
2, VALUES2, 59.719, -40.016
2, VALUES3, 34.190502, -106.3535
3, VALUES1, 354.767907, 6.553311286
3, VALUES2, 66.890268, -44.82713
3, VALUES3, 51.76663947, -47.50803376
4, VALUES1, 2.809858, -2.9110663
4, VALUES2, 2.823175, -3.4357505
4, VALUES3, 2.5009067, -2.8631256
9, VALUES1, 7.259384, -7.763690337
9, VALUES2, 6.0737643, -7.8014293
9, VALUES3, 9.735607, 2.4035747
10, VALUES1, 6.33670672, -1.73743221
10, VALUES2, 7.482997248, -6.7755547
10, VALUES3, 7.70897934, -9.487063435
11, VALUES1, 0.4466452695, -0.4786400073
11, VALUES2, 0.4056936767, -0.4211623658
11, VALUES3, 0.9648453594, -0.9703809954
11, VALUES4, 0.9819625916, -0.95973409
11, VALUES5 , 0.0, 0.0
26, VALUES1, 1.0, 1.0
