index_id, SENSORTYPE, VALUE_COL, p97, p03
0,1,VALUES1,9.809137,-7.195282
1,1,VALUES2,8.909128,-10.661273
2,1,VALUES3,16.166645,-5.8835673
3,2,VALUES1,80.276,-50.7825
4,2,VALUES2,59.719,-40.016
5,2,VALUES3,34.190502,-106.3535
6,3,VALUES1,354.767907,6.553311286
7,3,VALUES2,66.890268,-44.82713
8,3,VALUES3,51.76663947,-47.50803376
9,4,VALUES1,2.809858,-2.9110663
10,4,VALUES2,2.823175,-3.4357505
11,4,VALUES3,2.5009067,-2.8631256
12,9,VALUES1,7.259384,-7.763690337
13,9,VALUES2,6.0737643,-7.8014293
14,9,VALUES3,9.735607,2.4035747
15,10,VALUES1,6.33670672,-1.73743221
16,10,VALUES2,7.482997248,-6.7755547
17,10,VALUES3,7.70897934,-9.487063435
18,11,VALUES1,0.4466452695,-0.4786400073
19,11,VALUES2,0.4056936767,-0.4211623658
20,11,VALUES3,0.9648453594,-0.9703809954
21,11,VALUES4,0.9819625916,-0.95973409
22,11,VALUES5 ,0.0,0.0
23,26,VALUES1,1.0,1.0
